MG_E0,,MG_E0,,MG_E0,,MG_E0,,MG_E0,,MG_E5,,MG_E10,,MG_10b,,MG_E20,,MG_E21,,MG_E20N10,,MG1wk,,MG1w_E20,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,
,,558.0499878,370.3034363,558.0499878,371.8683167,558.0499878,373.3551331,558.0499878,351.0316467,558.0499878,344.6039429,558.0499878,322.2861633,558.0499878,323.3839111,558.0499878,244.9147034,558.0499878,245.9688263,558.0499878,242.5113678,558.0499878,200.8886414,558.0499878,183.1711884,
,,558.9500122,357.5589905,558.9500122,359.4638367,558.9500122,358.3823547,558.9500122,342.6334534,558.9500122,335.8904419,558.9500122,317.4715576,558.9500122,312.6366882,558.9500122,241.7532806,558.9500122,239.7204285,558.9500122,237.2490234,558.9500122,197.0827942,558.9500122,179.5562134,
,,560,349.9633484,560,345.35672,560,347.8577271,560,328.8270264,560,324.9027405,560,303.759552,560,303.1975708,560,230.9221649,560,232.2020569,560,228.1293335,560,189.4581604,560,170.9398499,
,,561.0200195,333.5111694,561.0200195,336.5544434,561.0200195,338.6802063,561.0200195,314.8415833,561.0200195,314.380127,561.0200195,293.1791077,561.0200195,294.043335,561.0200195,225.1770477,561.0200195,227.2440491,561.0200195,221.6233063,561.0200195,182.6408234,561.0200195,165.395401,
,,562.0499878,325.4412842,562.0499878,325.822052,562.0499878,325.8482666,562.0499878,303.9895325,562.0499878,304.9719238,562.0499878,282.5910645,562.0499878,279.9348145,562.0499878,212.9259949,562.0499878,214.2734985,562.0499878,211.6875,562.0499878,176.1650238,562.0499878,162.3040161,
,,562.9400024,317.6486816,562.9400024,314.0267334,562.9400024,318.539093,562.9400024,294.6942444,562.9400024,298.3226929,562.9400024,274.381897,562.9400024,275.124939,562.9400024,212.7742767,562.9400024,210.830719,562.9400024,206.6162872,562.9400024,171.4341888,562.9400024,154.0827179,
,,563.9699707,306.9569092,563.9699707,306.2324524,563.9699707,307.2572021,563.9699707,285.5000305,563.9699707,285.4723816,563.9699707,265.9422607,563.9699707,262.3097229,563.9699707,204.9542847,563.9699707,201.5701599,563.9699707,198.0711517,563.9699707,163.3496094,563.9699707,149.065567,
,,565,295.2511597,565,295.6563721,565,295.9848633,565,275.8685608,565,273.5074463,565,257.8435974,565,255.889679,565,198.4131927,565,197.4195709,565,192.0906067,565,160.2791595,565,146.4607544,
,,566.0200195,289.5258179,566.0200195,288.625824,566.0200195,283.1815796,566.0200195,268.8180237,566.0200195,268.4078064,566.0200195,248.8970947,566.0200195,248.6107025,566.0200195,189.9283752,566.0200195,192.210083,566.0200195,189.4924164,566.0200195,154.9436035,566.0200195,142.3461151,
,,567.0499878,280.0064697,567.0499878,280.3998108,567.0499878,280.321106,567.0499878,260.2512817,567.0499878,259.348175,567.0499878,244.2631989,567.0499878,241.6344147,567.0499878,188.1592865,567.0499878,185.4723511,567.0499878,181.6952667,567.0499878,150.962738,567.0499878,137.6163025,
,,567.9400024,273.6150513,567.9400024,271.7183228,567.9400024,270.0197144,567.9400024,256.267395,567.9400024,250.5953064,567.9400024,238.1315002,567.9400024,237.4358215,567.9400024,182.7856598,567.9400024,181.075531,567.9400024,178.3291626,567.9400024,144.723053,567.9400024,133.2473145,
,,568.9699707,264.8674622,568.9699707,264.0469055,568.9699707,267.3410339,568.9699707,249.0849762,568.9699707,244.8616791,568.9699707,228.6886292,568.9699707,227.1133881,568.9699707,176.0517731,568.9699707,175.0094604,568.9699707,171.180954,568.9699707,142.078476,568.9699707,129.8142395,
,,570,257.5377808,570,254.0279388,570,254.2342224,570,238.7417145,570,236.0432892,570,221.4506683,570,221.9829102,570,171.593811,570,169.3153534,570,170.4511719,570,140.0372162,570,125.4848099,
,,571.0200195,248.8555603,571.0200195,246.7514496,571.0200195,246.6860657,571.0200195,230.3901367,571.0200195,229.7637482,571.0200195,217.7353668,571.0200195,214.1492157,571.0200195,165.6117401,571.0200195,165.2342377,571.0200195,161.1065063,571.0200195,131.6002197,571.0200195,119.6317368,
,,572.0499878,241.386734,572.0499878,241.0831146,572.0499878,241.0412445,572.0499878,225.9590454,572.0499878,224.1908722,572.0499878,209.658432,572.0499878,209.5845642,572.0499878,161.9113007,572.0499878,157.8010864,572.0499878,158.0348053,572.0499878,130.3715363,572.0499878,120.0496979,
,,572.9400024,234.7261658,572.9400024,232.6819305,572.9400024,235.0880432,572.9400024,218.094986,572.9400024,220.8858643,572.9400024,206.1852264,572.9400024,202.5194702,572.9400024,157.3296661,572.9400024,156.2314453,572.9400024,153.343399,572.9400024,128.1587982,572.9400024,115.7837677,
,,573.9699707,229.406189,573.9699707,227.4903717,573.9699707,225.0383911,573.9699707,214.4633789,573.9699707,209.3045807,573.9699707,197.4430847,573.9699707,195.6963348,573.9699707,151.6446381,573.9699707,147.56073,573.9699707,148.6233826,573.9699707,123.1027069,573.9699707,113.7205963,
,,575,220.3339081,575,217.5142212,575,217.0199432,575,203.9385223,575,205.1652222,575,190.2745667,575,189.5009308,575,147.5034027,575,144.862442,575,144.5050964,575,119.1043549,575,106.8241653,
,,576.0200195,213.9732971,576.0200195,211.7631989,576.0200195,212.3621063,576.0200195,199.6039581,576.0200195,196.7833405,576.0200195,185.0970917,576.0200195,182.4131927,576.0200195,140.4318542,576.0200195,139.6268616,576.0200195,139.8452148,576.0200195,115.9618073,576.0200195,104.0647964,
,,577.0499878,205.4656982,577.0499878,205.1020966,577.0499878,202.2767944,577.0499878,193.4860077,577.0499878,188.6040649,577.0499878,178.4480896,577.0499878,175.3669128,577.0499878,136.2901611,577.0499878,135.9945068,577.0499878,134.0324554,577.0499878,110.2454987,577.0499878,102.2963028,
,,577.9400024,197.849472,577.9400024,199.8974762,577.9400024,197.4173889,577.9400024,189.2385712,577.9400024,186.1387939,577.9400024,174.1799316,577.9400024,170.1787415,577.9400024,132.7642365,577.9400024,130.491806,577.9400024,129.7145691,577.9400024,108.3735123,577.9400024,97.71218872,
,,578.9699707,192.6121063,578.9699707,192.1647949,578.9699707,189.230835,578.9699707,178.5247192,578.9699707,177.4877472,578.9699707,167.4319611,578.9699707,165.8699799,578.9699707,125.9192657,578.9699707,123.9378204,578.9699707,124.2029419,578.9699707,104.0396957,578.9699707,94.53173828,
,,580,184.7960205,580,182.2294769,580,185.3004303,580,173.6369324,580,172.3090057,580,161.2932587,580,159.2333069,580,121.5403976,580,121.714035,580,121.3963089,580,99.72533417,580,90.87389374,
,,581.0200195,179.4514618,581.0200195,180.0433197,581.0200195,178.9134216,581.0200195,166.6133881,581.0200195,164.8354034,581.0200195,156.5209198,581.0200195,153.2092285,581.0200195,118.0212708,581.0200195,117.99646,581.0200195,115.9419174,581.0200195,96.14709473,581.0200195,89.17987823,
,,582.0499878,169.6072845,582.0499878,172.2188568,582.0499878,169.7724762,582.0499878,160.6534119,582.0499878,162.161499,582.0499878,150.6245728,582.0499878,149.3653259,582.0499878,114.7567902,582.0499878,114.3741074,582.0499878,112.0494537,582.0499878,93.82793427,582.0499878,85.04176331,
,,582.9400024,164.081131,582.9400024,167.9277344,582.9400024,164.9915924,582.9400024,155.8559265,582.9400024,155.8894501,582.9400024,142.8567963,582.9400024,146.207489,582.9400024,110.2831039,582.9400024,107.8634796,582.9400024,107.1737976,582.9400024,89.50284576,582.9400024,83.6852417,
,,583.9699707,157.4595337,583.9699707,159.3975067,583.9699707,158.1086273,583.9699707,151.8242035,583.9699707,148.6233063,583.9699707,136.7142029,583.9699707,138.2554474,583.9699707,106.1299438,583.9699707,104.8312073,583.9699707,106.0794983,583.9699707,87.20854187,583.9699707,79.4378891,
,,585,152.1807556,585,151.0245514,585,151.9287262,585,141.7528381,585,143.2606812,585,132.1743622,585,134.0229797,585,100.865799,585,102.1557846,585,100.3610611,585,83.02607727,585,78.08996582,
,,586.0200195,147.5728302,586.0200195,148.83992,586.0200195,146.5904083,586.0200195,139.0353699,586.0200195,137.0499268,586.0200195,128.6673431,586.0200195,128.6613159,586.0200195,99.00366974,586.0200195,97.14138031,586.0200195,96.39844513,586.0200195,79.47823334,586.0200195,73.16902161,
,,587.0499878,142.3672791,587.0499878,141.7283325,587.0499878,141.9238129,587.0499878,132.6470184,587.0499878,132.4839325,587.0499878,124.5231094,587.0499878,122.5923462,587.0499878,94.37252045,587.0499878,93.79375458,587.0499878,93.00509644,587.0499878,76.51329803,587.0499878,70.8966217,
,,587.9400024,137.0706177,587.9400024,138.5867004,587.9400024,136.5037537,587.9400024,129.5437622,587.9400024,126.6621628,587.9400024,118.2007675,587.9400024,118.3163528,587.9400024,91.10322571,587.9400024,91.99681854,587.9400024,87.86289978,587.9400024,74.32410431,587.9400024,69.86373138,
,,588.9699707,130.2629089,588.9699707,132.8067932,588.9699707,132.7955475,588.9699707,124.6764908,588.9699707,121.4762573,588.9699707,114.499855,588.9699707,114.0129623,588.9699707,87.1460495,588.9699707,86.24938965,588.9699707,88.58950043,588.9699707,69.69371796,588.9699707,64.61513519,
,,590,124.6557465,590,124.7964935,590,125.8029022,590,119.1692429,590,118.9360428,590,108.9866943,590,107.6847839,590,84.50946045,590,84.1872406,590,81.41763306,590,67.90019989,590,61.93192291,
,,591.0200195,118.7952347,591.0200195,119.3136215,591.0200195,123.7786713,591.0200195,113.7421112,591.0200195,114.4518585,591.0200195,103.9098663,591.0200195,106.4935379,591.0200195,80.94944763,591.0200195,81.18410492,591.0200195,79.5185318,591.0200195,67.35951996,591.0200195,60.49555969,
,,592.0499878,117.4331284,592.0499878,114.4111938,592.0499878,118.0969009,592.0499878,110.1257401,592.0499878,110.5881119,592.0499878,101.0143051,592.0499878,102.5507431,592.0499878,75.85835266,592.0499878,77.18328857,592.0499878,76.19412994,592.0499878,62.99829483,592.0499878,57.38202667,
,,592.9400024,114.0270386,592.9400024,110.5794525,592.9400024,111.8119736,592.9400024,105.1524353,592.9400024,104.5992737,592.9400024,98.31095886,592.9400024,98.15584564,592.9400024,74.26010895,592.9400024,73.65592194,592.9400024,74.31967926,592.9400024,61.97999573,592.9400024,56.0470047,
,,593.9699707,108.9418106,593.9699707,108.7604828,593.9699707,107.6744003,593.9699707,103.0018082,593.9699707,103.2378769,593.9699707,94.96071625,593.9699707,93.8249054,593.9699707,72.66090393,593.9699707,71.9752121,593.9699707,72.69335175,593.9699707,57.76530838,593.9699707,53.9553833,
,,595,103.4406052,595,102.0415497,595,104.9231186,595,97.94230652,595,98.11833954,595,90.33252716,595,91.46530151,595,68.93271637,595,68.9597168,595,69.1849823,595,57.22753143,595,51.72099304,
,,596.0200195,100.313179,596.0200195,101.2688904,596.0200195,99.93029022,596.0200195,95.25559235,596.0200195,94.94380188,596.0200195,86.34519196,596.0200195,88.75014496,596.0200195,67.26966858,596.0200195,68.08822632,596.0200195,66.49862671,596.0200195,53.50582886,596.0200195,50.32761765,
,,597.0499878,97.33436584,597.0499878,96.31784058,597.0499878,95.91020203,597.0499878,92.0796814,597.0499878,91.12215424,597.0499878,83.37115479,597.0499878,84.48593903,597.0499878,65.90074921,597.0499878,64.86927795,597.0499878,64.17566681,597.0499878,51.53113937,597.0499878,47.42127991,
,,597.9400024,92.52867889,597.9400024,93.68986511,597.9400024,90.79582977,597.9400024,87.1486969,597.9400024,88.31311798,597.9400024,80.77040863,597.9400024,83.07740021,597.9400024,60.96069336,597.9400024,62.15029144,597.9400024,61.70936966,597.9400024,51.59783173,597.9400024,46.72181702,
,,598.9699707,88.80054474,598.9699707,88.3000946,598.9699707,89.86237335,598.9699707,84.15432739,598.9699707,82.49180603,598.9699707,77.89283752,598.9699707,77.88478088,598.9699707,59.81206894,598.9699707,58.82992172,598.9699707,60.38154221,598.9699707,49.09029007,598.9699707,44.69971848,
,,600,86.54662323,600,85.26885223,600,86.31782532,600,80.01515961,600,81.74630737,600,74.79508972,600,75.30295563,600,57.22338486,600,58.66048813,600,57.96980286,600,47.81752777,600,43.27961349,

MG_E0,
MG_E0
Collection Time: 3/5/2018 10:27:02 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY17190007
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        510.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               506.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     10
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 335 - 620 nm
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\USERS\AGILENT\DOCUMENTS\FPSI\PHOTOBLEACHINGTESTS.FMSW
Date/Time stamp: 1/26/2018 5:56:29 PM
Method Modifications:
User Delta Stop Changed: 8/31/2017 1:44:06 PM, Old: 450.00, New: 488.00
User Delta Increment Changed: 8/31/2017 1:44:06 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 8/31/2017 1:44:06 PM, Old: 350.00, New: 488.00
Excitation Wavelength Changed: 8/31/2017 2:01:39 PM, Old: 488.00, New: 350.00
Excitation Wavelength Changed: 8/31/2017 2:15:07 PM, Old: 350.00, New: 488.00
Excitation Wavelength Changed: 9/2/2017 6:47:17 PM, Old: 488.00, New: 350.00
Emission Wavelength Changed: 9/2/2017 6:49:15 PM, Old: 400.00, New: 375.00
